Designator,Mid X,Mid Y,Rotation,Layer
BT1,147.0,-112.76646,70.0,top
C1,175.0,-88.5,90.0,top
C10,184.5,-93.725,270.0,top
C11,182.5,-94.0,270.0,top
C12,181.0,-94.02,90.0,top
C13,178.48,-95.5,0.0,top
C15,182.5,-114.5,90.0,top
C16,172.0,-95.0,90.0,top
C17,175.0,-95.0,90.0,top
C2,181.0,-88.48,270.0,top
D1,167.5,-126.0,60.0,top
D2,149.5,-119.5,70.0,top
D3,130.710645,-114.62443,79.9,top
D4,111.5,-113.0,89.9,top
J1,175.45,-120.0,270.0,top
R1,184.5,-114.5,90.0,top
SW1,141.03874193760342,-107.06158233897317,349.9,top
SW2,171.474834,-129.105672,210.0,bottom
SW3,154.155072,-120.735198,200.0,bottom
SW4,135.648218,-115.487791,190.1,bottom
SW5,116.512554,-113.691744,180.1,bottom
U2,178.165,-103.15,90.0,top
U3,178.0,-90.5,90.0,top
