Designator,Mid X,Mid Y,Rotation,Layer
D1,133.85,-86.5,0.0,bottom
D10,198.65,-110.5,0.0,bottom
D11,138.0,-124.5,90.0,bottom
D12,155.0,-121.5,90.0,bottom
D13,171.0,-120.85,90.0,bottom
D14,187.0,-123.0,90.0,bottom
D15,203.0,-132.35,90.0,bottom
D2,145.0,-91.0,270.0,bottom
D3,165.5,-92.5,0.0,bottom
D4,187.0,-90.5,90.0,bottom
D5,197.85,-94.5,0.0,bottom
D6,139.0,-105.0,90.0,bottom
D7,151.5,-110.5,0.0,bottom
D8,166.35,-98.5,0.0,bottom
D9,181.0,-102.5,0.0,bottom
J1,154.5,-96.05,0.0,bottom
SW1,134.0,-91.5,270.0,top
SW10,198.0,-115.5,270.0,top
SW11,134.0,-123.5,90.0,top
SW12,150.0,-121.5,180.0,top
SW13,166.0,-119.5,90.0,top
SW14,182.0,-123.5,90.0,top
SW15,198.0,-131.5,90.0,top
SW2,150.0,-89.5,0.0,top
SW3,166.0,-87.5,0.0,top
SW4,182.0,-91.5,180.0,top
SW5,198.0,-99.5,270.0,top
SW6,134.0,-107.5,90.0,top
SW7,150.0,-105.5,90.0,top
SW8,166.0,-103.5,270.0,top
SW9,182.0,-107.5,270.0,top
