Designator,Mid X,Mid Y,Rotation,Layer
BT1,150.530975,-112.76646,290.0,bottom
C1,184.52,-116.5,0.0,bottom
C10,183.0,-114.0,90.0,bottom
C11,185.0,-114.0,90.0,bottom
C12,181.0,-114.5,270.0,bottom
C13,177.0,-111.0,180.0,bottom
C15,178.0,-94.0,270.0,bottom
C16,174.0,-111.48,270.0,bottom
C17,172.0,-111.5,270.0,bottom
C2,180.5,-116.5,0.0,bottom
D1,176.0,-131.0,120.0,bottom
D2,159.0,-122.0,110.0,bottom
D3,140.5,-116.0,100.1,bottom
D4,121.5,-113.0,90.1,bottom
J1,175.45,-120.0,90.0,bottom
R1,181.0,-94.175,90.0,bottom
SW1,141.03874193760342,-107.06158233897317,10.099999999999994,bottom
SW2,171.474834,-129.105672,150.0,top
SW3,154.155072,-120.735198,160.0,top
SW4,135.648218,-115.487791,169.9,top
SW5,116.512554,-113.691744,179.9,top
U2,178.165,-103.15,270.0,bottom
U3,182.0,-120.5,180.0,bottom
